username,tanggal,tweet
rizkymaulana,2023-01-16,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
dimas_pratama36,2023-01-24,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
nanda_aprilia,2023-01-13,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
fajarhidayat,2023-01-16,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
indrasetiawan_,2023-01-24,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
dimas_wijaya,2023-01-06,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
lindaapriliaaa,2023-01-07,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
putri.hidayat,2023-01-11,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
lindalestari_,2023-01-03,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
andi_wulandari26,2023-01-07,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
nandalestari,2023-01-08,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
ayuwijayaaa,2023-01-02,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
nandasaputraaa,2023-01-24,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
fajar_wijaya,2023-01-10,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
linda_wulandari69,2023-01-09,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
nanda_wijaya,2023-01-28,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
sari_wulandari,2023-01-03,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
andiwulandari,2023-01-17,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
budiapriliaaa,2023-01-20,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
andi.setiawan,2023-01-26,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
fitrilestari,2023-01-18,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
lindapratama74,2023-01-27,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
rizkysaputraaa,2023-01-20,transportasi di bali susahhh bgttt 😤😤!!! #bali #canggu
andisaputra,2023-01-03,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
dewilestari,2023-01-10,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
fajarlestari,2023-01-21,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
budi.wulandari,2023-01-05,cuaca panas poll 🔥🔥 not comfy at all... #liburan_bali #canggu
aguswulandari50,2023-01-08,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
dimas.setiawan,2023-01-04,harga hotel naik trss 😑😑 duh... #pariwisata_bali #ubud
fajar.aprilia,2023-01-10,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
fajarfirmansyah,2023-01-22,harga makan mahal bgd sihh 😭😭 gk worth it?? #pariwisata_bali #canggu
sariwulandari_,2023-01-10,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
andifirmansyah44,2023-01-02,jalanan macet muluuu capekkk 😩😩!!! #liburan_bali #canggu
andilestariaa,2023-01-26,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
dimaswijaya,2023-01-05,ticket masuk mahal yaaa 😓😓 seriusss #pariwisata_bali #canggu
andiwulandari74,2023-01-28,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
budi_wulandari81,2023-01-15,sampah msh bykk bgtt 😠😠 parah sih #pariwisata_bali #pantai_bali
nanda_wijaya95,2023-01-20,pantai kotorrrr abisss 😢😢 byk sampahh... #pariwisata_bali #pantai_bali
putripratamaaa,2023-01-19,macettt parahhh di baliii 😡😡!!! jd mls liburan... #pariwisata_bali #canggu
